age,monthly_income,loan_amount,loan_term_months,past_due,employment_type,has_mortgage,num_prev_loans,credit_utilization,default
25,6519,2837,24,no,unemployed,no,0,0.579,0
58,8049,9272,24,no,employed,no,3,0.259,0
53,5672,5020,36,yes,employed,no,1,0.193,0
42,4838,2043,48,no,self-employed,yes,1,0.367,0
42,1500,1908,48,yes,employed,no,6,0.567,0
63,7281,10170,48,no,unemployed,no,3,0.069,0
25,5773,3240,60,no,unemployed,no,2,0.283,0
55,3974,5331,24,no,self-employed,no,1,0.285,0
30,6253,3555,24,no,employed,no,6,0.123,0
25,4832,2445,12,no,employed,no,2,0.212,1
46,4943,2575,60,yes,employed,no,6,0.089,0
68,7212,8644,36,no,employed,no,2,0.467,0
57,3323,4878,24,no,unemployed,no,2,0.205,0
58,8094,9675,12,no,employed,no,3,0.313,0
56,3204,4850,48,yes,employed,no,0,0.21,0
59,4674,5549,48,yes,employed,yes,1,0.22,0
46,9845,14727,48,no,unemployed,no,0,0.454,1
27,8254,14566,24,no,unemployed,no,3,0.382,1
62,6195,5491,60,no,employed,yes,3,0.076,0
43,4118,2161,48,no,employed,yes,1,0.413,0
45,4941,2485,48,no,self-employed,no,0,0.124,0
39,6146,7351,48,no,employed,yes,1,0.352,0
29,6075,6807,60,yes,unemployed,no,1,0.16,1
66,5818,3353,60,no,unemployed,yes,3,0.063,0
59,5938,9638,36,no,self-employed,yes,1,0.21,0
52,5571,9666,36,no,employed,yes,2,0.182,0
40,3116,2118,36,no,self-employed,no,1,0.305,0
61,4966,3030,60,no,unemployed,no,1,0.364,0
47,7829,4860,48,yes,employed,no,2,0.15,1
42,3263,2875,12,no,unemployed,no,2,0.215,0
43,5620,8878,12,yes,employed,no,3,0.314,0
32,4360,5205,60,no,unemployed,yes,0,0.118,0
25,6222,2497,60,no,self-employed,yes,3,0.544,0
48,5222,5271,60,no,employed,no,4,0.41,0
64,8954,3899,36,no,employed,yes,1,0.316,0
24,7013,6377,48,yes,employed,no,1,0.168,0
63,3376,3056,60,no,employed,no,0,0.039,0
61,7342,9342,24,no,unemployed,no,0,0.569,0
34,4450,5002,12,no,employed,no,1,0.06,0
51,4846,7812,60,yes,unemployed,no,2,0.282,1
29,6627,2149,12,yes,employed,no,7,0.296,0
58,5016,7328,36,yes,self-employed,no,2,0.51,0
55,7785,2600,48,yes,unemployed,no,3,0.49,0
38,4450,3366,48,yes,self-employed,no,1,0.353,0
24,4762,7712,24,yes,unemployed,no,2,0.559,1
68,4687,6260,48,no,unemployed,no,1,0.539,1
42,4868,2716,24,no,employed,no,1,0.091,0
64,8198,8494,60,no,self-employed,no,2,0.252,0
54,7257,10035,24,no,employed,yes,2,0.11,0
59,9419,16068,48,no,employed,no,1,0.023,0
58,10535,13184,48,no,employed,no,0,0.389,0
30,3938,1327,24,no,self-employed,no,6,0.257,0
38,6140,6444,24,no,self-employed,yes,1,0.393,0
43,3647,1930,48,no,employed,no,2,0.067,0
45,4444,1651,12,yes,unemployed,no,1,0.203,0
23,4739,5676,24,no,employed,no,2,0.537,0
47,3885,5693,36,no,unemployed,yes,4,0.22,0
28,3896,1379,60,no,employed,yes,1,0.295,0
57,5711,8425,36,no,employed,yes,0,0.085,0
54,3566,4848,36,no,employed,yes,5,0.222,0
